name,gs_email,as_chair,as_pc,as_author,papers
"Ahamad, Mustaque",@cc.gatech.edu,0,0,1,NDSS_17_058
"Ahmad, Irfan",,0,1,1,ATC_17_037
"Ahmad, Ishfaq",@cse.uta.edu,0,0,1,IGSC_17_018
"Ahmad, Maaz Bin Safeer",,0,0,1,PLDI_17_024
"Ahmad, Masab",@uconn.edu,0,0,1,IPDPS_17_026
"Ahmad, Raza",,0,0,1,ICDM_17_068
"Ahmad, Yanif",@jhu.edu,0,1,0,
"Ahmed, Amal",@ccs.neu.edu,0,0,1,PLDI_17_020
"Ahmed, Kishwar",@fiu.edu,0,0,1,MASCOTS_17_014
"Ahmed, M Meraj",@g.rit.edu,0,0,1,IGSC_17_005
"Ahmed, Maruf",,0,0,1,Cluster_17_058
"Ahmed, Pritom",@ucr.edu,0,0,1,SIGMOD_17_071
"Ahmed, Salah",,0,0,1,SIGMOD_17_029
"Ahn, Dong H.",,0,0,2,"PPoPP_17_021,IISWC_17_029"
"Ahn, Ethan C.",@utsa.edu,0,0,1,HotStorage_17_010
"Ahn, Gail-Joon",@asu.edu,0,2,1,NDSS_17_008
"Ahn, Jung Ho",@snu.ac.kr,0,4,4,"HPCA_17_039,ASPLOS_17_052,IISWC_17_012,IISWC_17_022"
"Ahn, Soohan",,0,0,1,ICPE_17_020
"Ahrens, James",@lanl.gov,0,0,1,IPDPS_17_096
"Ai, Qingyao",@cs.umass.edu,0,0,2,"SIGIR_17_032,SIGIR_17_065"
"Ai, Zhiyuan",,0,0,1,ATC_17_010
"Aida, Kento",,0,1,0,
"Aiello, Luca Maria",@nokia-bell-labs.com,0,1,0,
"Aiello, Marco",@ieee.org,0,1,0,
"Aiken, Alex",@cs.stanford.edu,0,0,5,"ASPLOS_17_022,SC_17_013,HiPC_17_002,OOPSLA_17_046,PLDI_17_045"
"Ailamaki, Anastasia",@epfl.ch,0,0,2,"CIDR_17_008,SOCC_17_009"
"Ainsworth, Mark",@brown.edu,0,0,2,"HotStorage_17_021,Cluster_17_006"
"Aiyar, Srinivas",,0,0,1,NSDI_17_004
"Ajay, Jerry",@buffalo.edu,0,0,1,ASPLOS_17_029
"Aji, Ashwin",@amd.com,0,3,0,
"Akaria, Islam",,0,0,1,IPDPS_17_001
"Akbudak, Kadir",@cs.bilkent.edu.tr,0,0,1,ISC_17_002
"Akella, Aditya",@cs.wisc.edu,1,1,5,"ATC_17_033,SIGCOMM_17_018,SOCC_17_037,SOSP_17_022,CoNEXT_17_023"
"Akella, Venkatesh",,0,0,1,HPCA_17_020
"Aken, Dana Van",,0,0,2,"CIDR_17_014,SIGMOD_17_068"
"Akgun, Itir",@ece.ucsb.edu,0,0,1,ISCA_17_052
"Akkus, Istemi Ekin",@mpi-sws.org,0,0,2,"Middleware_17_003,CoNEXT_17_027"
"Akoglu, Ali",MISSING,0,1,1,HPCC_17_039
"Akoglu, Leman",@cs.cmu.edu,0,1,0,
"Akram, Riad",,0,0,1,IISWC_17_015
"Aksenov, Vitaly",,0,0,1,EuroPar_17_002
"Aktaş, Mehmet Fatih",MISSING,0,0,1,ICPP_17_026
"Aktolga, Elif",@cs.umass.edu,0,1,0,
"Akturk, Ismail",@umn.edu,0,0,1,ASPLOS_17_055
"Al-Fuqaha, Ala",@wmich.edu,0,0,1,HPCC_17_007
"Al-Hawaj, Khalid",,0,0,1,MICRO_17_057
"Al-Kiswany, Samer",@uwaterloo.ca,0,2,1,HPDC_17_003
"Al-Rawi, Asma",,0,0,1,ISC_17_021
"Al-Shaer, Ehab",MISSING,0,1,0,
"Alabi, Daniel",@g.harvard.edu,0,0,1,KDD_17_007
"Alagappan, Ramnatthan",@cs.wisc.edu,0,0,3,"FAST_17_011,FAST_17_013,EuroSys_17_036"
"Alaghi, Armin",@cs.washington.edu,0,0,2,"IPDPS_17_052,IISWC_17_024"
"Alam, Hanna",@tce.technion.ac.il,0,0,1,ISCA_17_035
"Alam, Mejbah Ul",@utsa.edu,0,0,1,EuroSys_17_010
"Alam, Monjur",@gatech.edu,0,0,1,ISCA_17_026
"Alam, Sadaf R.",,0,1,0,
"Alameldeen, Alaa",@cs.wisc.edu,0,1,1,MICRO_17_005
"Alapati, Praveen",@cse.iitm.ac.in,0,0,1,HPCC_17_047
"Alarcon, Sonia",,0,0,1,HCW_17_004
"Alay, Özgü",@simula.no,0,2,1,MobiCom_17_005
"Albarghouthi, Aws",@cs.wisc.edu,0,0,1,OOPSLA_17_020
"Albayram, Yusuf",,0,0,1,CLOUD_17_005
"Albericio, Jorge",@ece.toronto.edu,0,0,1,MICRO_17_030
"Albers, Susanne",@in.tum.de,0,2,1,SPAA_17_004
"Albonesi, David",,0,0,1,ISPASS_17_004
"Alcantara, Joel",,0,0,1,Middleware_17_011
"Alcorn, Scott",,0,0,1,KDD_17_048
"Alcántara, Manuel",,0,0,1,IPDPS_17_049
"Aldinucci, Marco",@unito.it,0,1,0,
"Aldrich, Jonathan",@cs.cmu.edu,1,0,0,
"Alduaij, Naser",@cs.columbia.edu,0,0,1,Middleware_17_007
"Aldweesh, Amjad",,0,0,1,CCS_17_014
"Alexeev, Yuri",@alcf.anl.gov,0,0,1,SC_17_038
"Alforov, Yevhen",@dkrz.de,0,0,1,Cluster_17_008
"Alfredsson, Stefan",@kau.se,0,0,1,MobiCom_17_005
"Alglave, Jade",@ucl.ac.uk,0,1,0,
"Alhassoun, Nailah",@ksu.edu.sa,0,0,1,IGSC_17_022
"Ali, Karim",@ualberta.ca,0,0,1,OOPSLA_17_027
"Ali-Eldin, Ahmed",@cs.umu.se,0,0,1,ICPE_17_007
"Alian, Mohammad",@illinois.edu,0,0,2,"HPCA_17_003,ISPASS_17_002"
"Alim, Adil",@albany.edu,0,0,1,ICDM_17_058
"Alimohammadifar, Amir",,0,0,1,NDSS_17_045
"Alipour, Mehdi",@it.uu.se,0,0,1,ISCA_17_015
"Alipourfard, Omid",@yale.edu,0,0,1,NSDI_17_028
"Alistarh, Dan",@csail.mit.edu,0,0,3,"EuroSys_17_035,PODC_17_025,CoNEXT_17_028"
"Alizadeh, Mohammad",@csail.mit.edu,0,1,4,"NSDI_17_024,SIGCOMM_17_016,SIGCOMM_17_027,SIGCOMM_17_033"
"Allalen, Momme",,0,0,1,ISC_17_013
"Allan, James",@cs.umass.edu,0,1,1,SIGIR_17_041
"Allcock, William",,0,0,1,Cluster_17_055
"Allen, Gabrielle Dawn",@illinois.edu,0,2,0,
"Allen, Tyler",,0,0,1,Cluster_17_057
"Allen-Bond, Michael R.",,0,0,1,ASPLOS_17_048
"Allman, Mark",@icir.org,0,1,1,IMC_17_005
"Allodi, Luca",@tue.nl,0,0,1,CCS_17_093
"Almakhdhub, Naif Saleh",,0,0,1,SP_17_035
"Almasi, Gheorghe",,0,2,0,
"Almeida, Francisco",@ull.edu.es,0,1,0,
"Almeida, José Bacelar",@di.uminho.pt,0,0,2,"CCS_17_112,CCS_17_123"
"Almeida, Jussara",@dcc.ufmg.br,0,1,1,MASCOTS_17_004
"Almgren, Ann",@lbl.gov,0,0,2,"ICPP_17_018,EuroPar_17_010"
"Almgren, Magnus",@chalmers.se,0,0,1,ICPP_17_048
"Almudever, Carmen G.",@tudelft.nl,0,0,1,MICRO_17_061
"Alonso, Gustavo",@inf.ethz.ch,1,0,3,"SIGMOD_17_028,SIGMOD_17_036,SIGMOD_17_041"
"Alonso, Omar",@microsoft.com,0,1,0,
"Alrwais, Sumayah",,0,0,1,SP_17_054
"Alshboul, Mohammad",@ncsu.edu,0,0,1,PACT_17_022
"Alshenibr, Leen",,0,0,1,NDSS_17_003
"Alsop, Johnathan",@illinois.edu,0,0,2,"ISCA_17_013,IISWC_17_030"
"Alsudais, Azzam",@colorado.edu,0,0,1,NSDI_17_007
"Alt, Samantha",,0,0,1,HiPC_17_007
"Altaf, Bin",@cs.wisc.edu,0,0,1,ISCA_17_029
"Altayeva, Aigerim",,0,0,1,HPCC_17_008
"Althoff, Tim",@cs.stanford.edu,0,1,0,
"Altingovde, Ismail Sengor",@ceng.metu.edu.tr,0,1,0,
"Altintas, Ilkay",@sdsc.edu,1,2,0,
"Altisen, Karine",@imag.fr,0,0,1,IPDPS_17_019
"Altmann, Jorn",@acm.org,0,1,0,
"Altıntaş, Ervin",,0,0,1,IPDPS_17_077
"Alur, Rajeev",@cis.upenn.edu,0,0,2,"SIGCOMM_17_028,PLDI_17_041"
"Aluru, Srinivas",@cc.gatech.edu,1,3,2,"IPDPS_17_002,HiPC_17_013"
"Alvares, Alberto Jose",,0,0,1,ICPP_17_056
"Alvarez, Gonzalo P. Rodrigo",@cs.umu.se,0,0,1,HPDC_17_001
"Alvaro, Peter",@ucsc.edu,0,2,3,"EuroSys_17_029,HotCloud_17_013,HotStorage_17_008"
"Alviano, Mario",@mat.unical.it,0,0,1,PODS_17_007
"Alvisi, Lorenzo",@cs.cornell.edu,1,2,4,"NSDI_17_027,SIGMOD_17_070,PODC_17_008,SIGCOMM_17_013"
"Alwen, Joel",,0,0,1,CCS_17_062
"Amann, Johanna",,0,1,2,"IMC_17_019,CoNEXT_17_022"
"Amano, Hideharu",@am.ics.keio.ac.jp,0,0,3,"HPCA_17_035,ICPP_17_033,Cluster_17_018"
"Amaral, José Nelson",@ualberta.ca,0,0,1,EuroPar_17_004
"Amaral, Marcelo Carneiro Do",@ac.upc.edu,0,0,1,SC_17_015
"Amaral, Vasco",@fct.unl.pt,0,0,1,SLE_17_013
"Amarasinghe, Saman",@mit.edu,0,0,2,"CIDR_17_027,OOPSLA_17_054"
"Amarilli, Antoine",@a3nm.net,0,0,1,PODS_17_029
"Amarís, Marcos",@ime.usp.br,0,0,1,EuroPar_17_049
"Amato, Nancy",@tamu.edu,0,2,0,
"Ambrona, Miguel",,0,0,1,CCS_17_041
"Amer, Abdelhalim",@anl.gov,0,2,2,"CCGrid_17_030,SC_17_057"
"Amer, Halim",@aurak.ac.ae,0,0,1,PPoPP_17_008
"Ames, Scott",,0,0,1,CCS_17_129
"Amigó, Enrique",@lsi.uned.es,0,1,0,
"Amin, Tanvir Al",@google.com,0,0,1,ICAC_17_014
"Amini, Massih-Reza",@imag.fr,0,1,0,
"Amiri, Ardalan",@uci.edu,0,0,1,ASPLOS_17_027
"Amit, Nadav",@vmware.com,0,3,3,"ASPLOS_17_031,HotOS_17_017,ATC_17_003"
"Ammar, Mostafa",@cc.gatech.edu,0,1,0,
"Amorim, Luís Eduardo De Souza",,0,0,1,SLE_17_006
"Amrizal, Muhammad Alfian",,0,0,1,HiPC_17_014
"Amsterdamer, Yael",@biu.ac.il,0,1,0,
"Amza, Cristiana",@ece.utoronto.ca,0,1,1,VEE_17_008
"An, Aijun",@cse.yorku.ca,0,1,0,
"An, Yujie",MISSING,0,0,1,IPDPS_17_092
"An, Zhenlin",@comp.polyu.edu.hk,0,0,1,MobiCom_17_023
"An, Zhongqi",,0,0,1,Cluster_17_061
"Anagnostopoulos, Aris",@dis.uniroma1.it,0,1,0,
"Anand, Saswat",@cs.stanford.edu,0,0,1,NDSS_17_020
"Ananthanarayanan, Ganesh",@microsoft.com,0,2,1,NSDI_17_022
"Anciaux, Nicolas",,0,1,0,
"Ancona, Davide",@unige.it,0,0,1,OOPSLA_17_040
"Andelfinger, Philipp",@kit.edu,0,0,1,MASCOTS_17_001
"Andersen, David G.",@cs.cmu.edu,0,1,2,"SIGMOD_17_054,SOCC_17_013"
"Anderson, Daniel",,0,0,1,IMC_17_017
"Anderson, Michael R.",@dtu.dk,0,0,1,SIGMOD_17_073
"Anderson, Thomas",@cs.washington.edu,0,1,4,"NSDI_17_005,NSDI_17_032,SIGCOMM_17_036,SOSP_17_028"
"Anderton, Cooper",,0,0,1,SPAA_17_028
"Ando, Shin",@rs.tus.ac.jp,0,1,0,
"Andonov, Rumen",@irisa.fr,0,0,1,PPoPP_17_015
"Andriesse, Dennis",@few.vu.nl,0,0,1,CCS_17_104
"Andriotis, Panagiotis",@uwe.ac.uk,0,0,1,NDSS_17_021
"Andritsos, Periklis",@utoronto.ca,0,0,1,HPCC_17_035
"Andronidis, Anastasios",@imperial.ac.uk,0,0,1,ATC_17_032
"Andrus, Jeremy",@cs.columbia.edu,0,0,1,Middleware_17_007
"Andrzejak, Artur",@informatik.uni-heidelberg.de,0,1,1,ICPE_17_028
"Ang, Lynn",,0,0,1,KDD_17_053
"Ang, Petchean",,0,0,1,SOSP_17_006
"Angelino, Elaine",@eecs.berkeley.edu,0,0,1,KDD_17_007
"Anghel, Andreea",@zurich.ibm.com,0,0,1,CCGrid_17_066
"Angulo, Gustavo",,0,0,1,CIDR_17_014
"Anirudh, Rushil",@llnl.gov,0,0,1,SC_17_028
"Annavaram, Murali",@usc.edu,0,2,6,"HPCA_17_045,HPCA_17_046,IPDPS_17_009,IPDPS_17_069,ISCA_17_024,MICRO_17_016"
"Ansari, Amin",@qti.qualcomm.com,0,0,1,PACT_17_018
"Anta, Antonio Fernandez",@imdea.org,0,1,0,
"Antao, Samuel",@sips.inesc-id.pt,0,0,1,HiPC_17_021
"Antichi, Gianni",@cl.cam.ac.uk,0,0,1,SIGCOMM_17_029
"Antoine, Boutet",@insa-lyon.fr,0,0,1,Middleware_17_013
"Antonakakis, Manos",@gatech.edu,0,1,3,"SP_17_002,CCS_17_036,CCS_17_070"
"Antoniadis, Antonios",,0,1,0,
"Antonie, Luiza",@uoguelph.ca,0,1,0,
"Antoniu, Gabriel",@inria.fr,1,2,1,EuroPar_17_042
"Antonopoulos, Timos",,0,0,1,PLDI_17_001
"Antova, Lyublena",@datometry.com,0,1,0,
"Antypas, Katerina",,0,1,0,
"Anzt, Hartwig",@icl.utk.edu,0,0,1,ICPP_17_010
"Ao, Yulong",,0,0,2,"IPDPS_17_053,ICPP_17_043"
"Aoki, Takayuki",,0,0,1,Cluster_17_054
"Apon, Amy",@clemson.edu,0,2,0,
"Apostolaki, Maria",,0,0,1,SP_17_017
"Appel, Andrew W.",@princeton.edu,0,0,2,"CCS_17_124,OOPSLA_17_004"
"Appice, Annalisa",@di.uniba.it,0,1,0,
"Appini, Mahathi Priya",,0,0,1,SP_17_046
"Appuswamy, Raja",@epfl.ch,0,0,1,CIDR_17_008
"Apra, Edoardo",@pnnl.gov,0,1,0,
"Apte, Varsha",@cse.iitb.ac.in,0,0,1,ICPE_17_010
"Aqil, Azeem",@cs.ucr.edu,0,0,1,CoNEXT_17_026
"Arab, Bahareh Sadat",@hawk.iit.edu,0,0,1,CIDR_17_007
