name,gs_email,as_chair,as_pc,as_author,papers
"Davatzikos, Christos",@rad.upenn.edu,0,0,1,SC_17_010
"Dave, Ankur",@eecs.berkeley.edu,0,0,1,NSDI_17_016
"Davi, Lucas",@uni-due.de,0,1,2,"NDSS_17_040,NDSS_17_062"
"David, Robin",@lbl.gov,0,0,1,SP_17_005
"David, Yaniv",@cs.technion.ac.il,0,0,1,PLDI_17_037
"Davidson, Ian",@cs.ucdavis.edu,0,1,3,"ICDM_17_061,ICDM_17_072,KDD_17_030"
"Davidson, Susan",@cis.upenn.edu,0,0,1,CIDR_17_020
"Davies, Peter",,0,0,1,PODC_17_001
"Davis, Brooks",@one-eyed-alien.net,0,0,1,ASPLOS_17_039
"Davis, Clauded",,0,0,1,Cluster_17_057
"Davis, James",@vt.edu,0,0,1,EuroSys_17_012
"Davis, Kei",@lanl.gov,0,0,1,IPDPS_17_047
"Davison, Brian",@cse.lehigh.edu,0,1,0,
"Davulcu, Hasan",@asu.edu,0,0,1,KDD_17_048
"Dawson, Michael",,0,0,1,Cluster_17_029
"Day, Marcus",,0,1,0,
"Dayan, Niv",,0,0,1,SIGMOD_17_093
"Dayarathna, Miyuru",@wso2.com,0,0,2,"ICPE_17_008,HiPC_17_012"
"De, Swades",@ee.iitd.ac.in,0,1,0,
"Dean, Jeffrey",@google.com,0,0,1,ISCA_17_001
"Debaillie, Björn",MISSING,0,0,1,CoNEXT_17_031
"Debardeleben, Nathan",@lanl.gov,0,1,3,"PPoPP_17_009,HPDC_17_010,SC_17_019"
"Debbabi, Mourad",@ciise.concordia.ca,0,0,1,NDSS_17_045
"Deblasio, Joe",,0,0,2,"IMC_17_011,IMC_17_020"
"Dechand, Sergej",,0,0,1,CCS_17_020
"Dechev, Damian",@eecs.ucf.edu,0,1,0,
"Dedhia, Veer",,0,0,1,NDSS_17_062
"Deelman, Ewa",@isi.edu,0,2,0,
"Deep, Rohit",,0,0,1,SIGMOD_17_042
"Deep, Shaleen",MISSING,0,0,1,SIGMOD_17_056
"Defago, Xavier",@c.titech.ac.jp,0,1,0,
"Degomme, Augustin",,0,0,1,Cluster_17_010
"Dehesa-Azuara, Mario",,0,0,1,SP_17_057
"Dehghani, Mostafa",@uva.nl,0,0,1,SIGIR_17_007
"Dehnavi, Maryam Mehri",@rutgers.edu,0,1,2,"Cluster_17_005,SC_17_012"
"Dehne, Frank",@scs.carleton.ca,0,1,0,
"Dejong, Gerald",,0,0,1,IISWC_17_028
"Delalondre, Fabien",,0,1,1,ISC_17_010
"Delasalles, Edouard",,0,0,1,ICDM_17_052
"Delicato, Flavia",@dcc.ufrj.br,0,1,0,
"Deligiannis, Pantazis",@imperial.ac.uk,0,0,1,OOPSLA_17_039
"Delignat-Lavaud, Antoine",@microsoft.com,0,0,1,SP_17_023
"Delimitrou, Christina",@cornell.edu,0,4,2,"ASPLOS_17_041,IISWC_17_019"
"Dell’Amico, Matteo",@linux.it,0,0,1,CCS_17_081
"Delmas, Alberto",,0,0,1,MICRO_17_030
"Delmelle, Eric",@uncc.edu,0,0,1,ICPP_17_049
"Delozier, Christian",,0,0,1,MICRO_17_047
"Delporte, Carole",,0,1,0,
"Delporte-Gallet, Carole",,0,1,0,
"Demartini, Gianluca",@cs.berkeley.edu,0,2,0,
"Demassey, Sophie",@mines-paristech.fr,0,0,1,EuroPar_17_031
"Demeester, Thomas",@intec.ugent.be,0,1,0,
"Demertzis, Ioannis",@umd.edu,0,0,1,SIGMOD_17_096
"Demiriz, Ayhan",@gtu.edu.tr,0,2,0,
"Demiryurek, Ugur",@usc.edu,0,0,1,ICDM_17_031
"Demmel, James",,0,0,3,"SPAA_17_005,ICPP_17_046,SC_17_009"
"Demmler, Daniel",@crisp-da.de,0,0,1,CoNEXT_17_020
"Demner, Dina",MISSING,0,1,0,
"Demsky, Brian",,0,0,1,PPoPP_17_007
"Deng, Alex",@microsoft.com,0,1,0,
"Deng, Cheng",@mail.xidian.edu.cn,0,1,0,
"Deng, Dingxiong",@usc.edu,0,0,1,ICDM_17_031
"Deng, Dong",@csail.mit.edu,0,0,1,CIDR_17_005
"Deng, Hongbo",@yahoo-inc.com,0,1,0,
"Deng, Juan",,0,0,1,NDSS_17_008
"Deng, Liang",,0,0,1,VEE_17_007
"Deng, Nan",@deng.email,0,1,0,
"Deng, Shuiguang",@zju.edu.cn,0,1,0,
"Deng, Ting",@act.buaa.edu.cn,0,1,0,
"Deng, Xiaohong",@unsw.edu.au,0,0,1,IMC_17_004
"Deng, Yangdong",,0,0,1,ISCA_17_044
"Deng, Yuefan",@stonybrook.edu,0,1,0,
"Deng, Yuhui",@jnu.edu.cn,0,0,1,HPCC_17_013
"Deng, Zhaoxia",@cs.ucsb.edu,0,0,2,"ISCA_17_028,MICRO_17_018"
"Denis, Alexandre",,0,2,0,
"Deniz, Fatma",@berkeley.edu,0,0,1,NDSS_17_015
"Denning, Tamara",@cs.utah.edu,0,1,0,
"Dennison, Larry",,0,0,1,IPDPS_17_084
"Denny, Joel",,0,0,1,IPDPS_17_114
"Denoyer, Ludovic",@lip6.fr,0,0,1,ICDM_17_052
"Denton, Anne",@ndsu.edu,0,1,0,
"Derler, David",@iaik.tugraz.at,0,0,1,CCS_17_113
"Derose, Luiz",,0,2,0,
"Derr, Erik",@cs.uni-saarland.de,0,0,1,CCS_17_135
"Derr, Kurt",,0,0,1,MobiCom_17_018
"Desell, Travis",@cs.und.edu,0,1,0,
"Deshpande, Amol",@cs.umd.edu,0,1,3,"NDSS_17_023,SIGMOD_17_031,SIGMOD_17_095"
"Deshpande, Aniruddha",,0,0,1,CoNEXT_17_009
"Deslippe, Jack",@lbl.gov,0,0,2,"SC_17_001,SC_17_014"
"Desnoyers, Peter",@ccs.neu.edu,1,2,2,"FAST_17_008,HotStorage_17_011"
"Desprez, Frederic",@inria.fr,0,3,0,
"Dessouky, Ghada",@trust.tu-darmstadt.de,0,0,1,NDSS_17_030
"Deutch, Daniel",@post.tau.ac.il,0,1,1,CIDR_17_020
"Deutsch, Alin",@eng.ucsd.edu,0,1,0,
"Dev, Bhanu",,0,0,1,CCS_17_088
"Devadas, Srinivas",@mit.edu,0,1,4,"SP_17_007,MICRO_17_001,CCS_17_151,SOSP_17_025"
"Deveci, Mehmet",@sandia.gov,0,2,1,SC_17_054
"Devendran, Dharshi",,0,1,0,
"Devietti, Joseph",,0,1,4,"MICRO_17_040,MICRO_17_047,OOPSLA_17_033,PLDI_17_006"
"Devine, Karen",@sandia.gov,0,3,1,IPDPS_17_064
"Devismes, Stéphane",@imag.fr,0,1,1,IPDPS_17_019
"Dey, Akon",@sydney.edu.au,0,0,1,CIDR_17_006
"Dhamdhere, Amogh",@caida.org,0,1,2,"IMC_17_004,IMC_17_005"
"Dhar, Anindya Sundar",@ece.iitkgp.ernet.in,0,0,1,HiPC_17_017
"Dhara, Souvik",@tue.nl,0,0,1,SIGMETRICS_17_002
"Dharamdasani, Hitesh",,0,0,1,SP_17_052
"Dhawan, Medhavi",,0,0,1,NSDI_17_003
"Dhekne, Ashutosh",@illinois.edu,0,0,1,NSDI_17_030
"Dhillon, Inderjit",@cs.utexas.edu,0,0,2,"KDD_17_002,KDD_17_064"
"Dhodapkar, Rahul",,0,0,1,OOPSLA_17_053
"Dhulipala, Laxman",@cs.cmu.edu,0,0,1,SPAA_17_024
"Dhurandhar, Amit",@us.ibm.com,0,1,0,
"Di, Sheng",@anl.gov,0,1,2,"CCGrid_17_054,IPDPS_17_111"
"Diaconescu, Ada",@telecom-paristech.fr,0,1,0,
"Diao, Yanlei",@cs.umass.edu,0,0,1,SIGMOD_17_087
"Diaz, Claudia",@esat.kuleuven.be,0,0,1,CCS_17_125
"Diaz, Vladimir",,0,0,1,ATC_17_051
"Diaz-Montes, Javier",@rdi2.rutgers.edu,0,0,2,"CCGrid_17_042,ICPP_17_026"
"Dicarlo, Leonardo",@tudelft.nl,0,0,1,MICRO_17_061
"Dice, David",@oracle.com,0,1,1,EuroSys_17_024
"Dickerson, Thomas",@cs.brown.edu,0,0,1,PODC_17_027
"Didona, Diego",@epfl.ch,0,0,2,"ATC_17_028,MASCOTS_17_018"
"Diener, Matthias",@illinois.edu,0,1,1,EuroPar_17_043
"Diestelhorst, Stephan",@arm.com,0,0,2,"ISPASS_17_002,ISCA_17_037"
"Dietrich, Christian",@sra.uni-hannover.de,0,0,1,ATC_17_040
"Dietrich, Jens",@massey.ac.nz,0,1,0,
"Dietz, Laura",@unh.edu,0,1,0,
"Dietzel, Christoph",@inet.tu-berlin.de,0,0,2,"SIGCOMM_17_031,IMC_17_001"
"Dieudonne, Yoann",,0,0,1,SPAA_17_007
"Difallah, Djellel Eddine",@nyu.edu,0,1,0,
"Dig, Danny",@illinois.edu,0,0,1,OOPSLA_17_060
"Dijk, Marten Van",@uconn.edu,0,1,0,
"Dilli, Dayal",,0,0,1,Cluster_17_029
"Dillig, Isil",@cs.utexas.edu,0,0,5,"NDSS_17_020,CCS_17_054,OOPSLA_17_045,OOPSLA_17_052,PLDI_17_012"
"Dillig, Thomas",@cs.utexas.edu,0,0,1,OOPSLA_17_045
"Dimitropoulos, Xenofontas",@ics.forth.gr,0,1,0,
"Dimitrov, Vassil",,0,1,0,
"Dimitrova, Desislava",,0,0,1,EuroSys_17_019
"Dimić, Vladimir",@bsc.es,0,0,1,EuroPar_17_013
"Dimopoulos, Stratos",@cs.ucsb.edu,0,0,1,Cluster_17_024
"Dimoulas, Christos",@seas.harvard.edu,0,0,1,PLDI_17_020
"Dinan, James",@intel.com,0,1,0,
"Dincer, B. Taner",@mu.edu.tr,0,1,0,
"Dinda, Peter",@northwestern.edu,0,1,1,ICAC_17_006
"Ding, Bo",,0,0,1,CLOUD_17_015
"Ding, Bolin",@microsoft.com,0,1,0,
"Ding, Boyan",,0,0,1,MobiCom_17_008
"Ding, Caiwen",@syr.edu,0,0,2,"ASPLOS_17_028,MICRO_17_032"
"Ding, Chen",@cs.rochester.edu,0,1,2,"PPoPP_17_018,IPDPS_17_012"
"Ding, Cong",@cs.cornell.edu,0,0,1,SIGMOD_17_070
"Ding, Ning",@purdue.edu,0,0,1,EuroSys_17_027
"Ding, Rui",,0,0,1,SIGMOD_17_004
"Ding, Shuai",@cis.poly.edu,0,1,0,
"Ding, Wei",@cse.psu.edu,0,0,1,MASCOTS_17_017
"Ding, Wei",@umb.edu,0,1,0,
"Ding, Xuhua",@smu.edu.sg,0,1,1,CCS_17_006
"Ding, Yi",@uchicago.edu,0,0,1,ICDM_17_009
"Ding, Yifei",,0,0,1,ICDM_17_023
"Ding, Ying",@indiana.edu,0,1,0,
"Ding, Yufei",@ncsu.edu,0,0,2,"OOPSLA_17_023,PLDI_17_023"
"Dinh, Anh",,0,0,1,SIGMOD_17_072
"Dinh, Thang N.",@vcu.edu,0,0,2,"SIGMETRICS_17_022,ICDM_17_065"
"Dinkelaker, Tom",,0,1,0,
"Dinu, Florin",@epfl.ch,0,0,1,ATC_17_008
"Distefano, Salvatore",@unime.it,0,1,0,
"Distler, Tobias",,0,0,1,EuroSys_17_034
"Dittmann, Gero",@zurich.ibm.com,0,0,1,CCGrid_17_066
"Dittrich, Jens",@cs.uni-saarland.de,0,1,0,
"Diwan, Amer",@google.com,0,0,1,HotCloud_17_005
"Djidjev, Hristo",@lanl.gov,0,0,1,PPoPP_17_015
"Djordjevic, Ivan B.",@ece.arizona.edu,0,0,1,HPCC_17_039
"Djuric, Nemanja",@temple.edu,0,2,0,
"Do, Trong Dinh Thac",@student.uts.edu.au,0,1,0,
"Doallo, Ramon",@udc.es,0,2,0,
"Doan, Anhai",@cs.wisc.edu,0,1,1,SIGMOD_17_042
"Dobre, Ciprian",@cs.pub.ro,0,1,0,
"Dobrev, Stefan",,0,0,1,SPAA_17_021
"Doerfler, Periwinkle",@nyu.edu,0,0,1,IMC_17_026
"Doerner, Jack",@virginia.edu,0,0,1,CCS_17_033
"Doerr, Benjamin",@mpi-inf.mpg.de,0,1,0,
"Doerr, Carola",@mpi-inf.mpg.de,0,1,0,
"Dogan, Halit",@uconn.edu,0,0,1,IPDPS_17_026
"Dogar, Fahad",@cs.tufts.edu,0,1,0,
"Dolan-Gavitt, Brendan",@nyu.edu,0,1,1,ATC_17_001
"Dolev, Danny",@mail.huji.ac.il,0,1,0,
"Dolev, Shlomi",@cs.bgu.ac.il,0,2,0,
"Dolz, Manuel",@inf.uc3m.es,0,1,0,
"Domeniconi, Carlotta",@cs.gmu.edu,0,1,0,
"Domingo-Ferrer, Josep",@urv.cat,0,1,0,
"Domke, Felix",,0,0,1,SP_17_018
"Domke, Jens",@m.titech.ac.jp,0,1,1,CCGrid_17_015
"Donaldson, Alastair",@imperial.ac.uk,0,0,1,OOPSLA_17_009
"Donato, Debora",@acm.org,0,1,0,
"Donenfeld, Jason A.",,0,0,1,NDSS_17_026
"Dong, Bin",@lbl.gov,0,0,4,"SIGMOD_17_080,HPDC_17_005,Cluster_17_037,SC_17_008"
"Dong, Changyu",@newcastle.ac.uk,0,0,1,CCS_17_014
"Dong, Dezun",@nudt.edu.cn,0,0,1,IPDPS_17_043
"Dong, Eddie",,0,0,1,VEE_17_003
"Dong, Guozhu",@wright.edu,0,1,0,
"Dong, Han",,0,0,1,ICPP_17_005
"Dong, Liming",,0,0,1,EuroPar_17_037
"Dong, Mingkai",,0,0,1,ATC_17_054
"Dong, Siying",,0,0,1,CIDR_17_030
"Dong, Wei",,0,0,1,MobiCom_17_029
"Dong, Xin",@google.com,0,1,0,
"Dong, Yuxiao",@microsoft.com,0,1,1,KDD_17_021
"Dongarra, Jack",@icl.utk.edu,0,0,4,"IPDPS_17_066,ISC_17_009,ICPP_17_010,EuroPar_17_023"
"Dongen, Boudewijn Van",@tue.nl,0,0,1,CCGrid_17_025
"Donnelly, Austin",@microsoft.com,0,0,1,HotStorage_17_002
"Donnet, Benoit",@ulg.ac.be,0,0,1,IMC_17_003
"Donofrio, David",,0,0,2,"IISWC_17_008,IISWC_17_009"
"Donsky, Mark",,0,0,1,CIDR_17_006
"Doraiswamy, Harish",@nyu.edu,0,1,0,
"Doran, James",,0,0,1,ATC_17_024
"Dorey, Kristen",,0,0,1,NDSS_17_025
"Dorfman, Jeremy",,0,0,1,SIGCOMM_17_030
"Dorier, Matthieu",@anl.gov,0,5,0,
"Dotti, Fernando Luís",@pucrs.br,0,0,1,IPDPS_17_074
"Dou, Dejing",@cs.uoregon.edu,0,1,1,ICDM_17_020
"Dou, Lei",,0,0,2,"HPCC_17_032,HPCC_17_076"
"Dou, Xianzheng",,0,0,1,FAST_17_006
"Dou, Zhicheng",@ruc.edu.cn,0,1,1,SIGIR_17_055
"Douglas, Andrew",,0,0,1,HotStorage_17_002
"Douglas, Chris",,0,1,0,
"Douglis, Fred",@dell.com,0,2,1,FAST_17_003
"Doupé, Adam",@asu.edu,0,1,0,
"Dowling, Jim",@kth.se,0,0,1,FAST_17_007
"Downen, Paul",@cs.uoregon.edu,0,0,1,PLDI_17_011
"Downey, Doug",@eecs.northwestern.edu,0,1,0,
"Downing, Evan",@gatech.edu,0,0,1,CCS_17_024
"Doychev, Goran",@imdea.org,0,0,1,PLDI_17_036
"Dozsa, Gabor",,0,0,1,ISPASS_17_002
"Drago, Idilio",@polito.it,0,1,1,MASCOTS_17_004
"Dragut, Eduard",@temple.edu,0,1,0,
"Drake, Barry",@cc.gatech.edu,0,0,1,ICDM_17_054
"Drebes, Andi",,0,1,0,
"Dreher, Matthieu",@anl.gov,0,0,3,"IPDPS_17_016,Cluster_17_038,Cluster_17_052"
"Dreps, Daniel M.",,0,0,1,MICRO_17_003
"Dresel, Lukas",,0,0,1,CCS_17_022
"Dreslinski, Ronald",@umich.edu,0,0,1,ISCA_17_005
"Drews, Samuel",,0,0,1,OOPSLA_17_020
"Dreyer, Derek",@mpi-sws.org,0,0,2,"OOPSLA_17_043,PLDI_17_034"
"Drezner, Zvi",@fullerton.edu,0,0,1,IPDPS_17_036
"Drijvers, Manu",@zurich.ibm.com,0,0,2,"SP_17_033,CCS_17_043"
"Drineas, Petros",@purdue.edu,0,1,0,
"Drosatos, George",,0,1,0,
"Drossopoulou, Sophia",@imperial.ac.uk,0,0,1,OOPSLA_17_035
"Drumond, Mario",@epfl.ch,0,0,1,ISCA_17_049
"Druschel, Peter",@mpi-sws.org,0,2,0,
"Dräxler, Sevil",@uni-paderborn.de,0,0,1,CCGrid_17_043
"Drăgan, Constantin Cătalin",@infoiasi.ro,0,0,1,SP_17_027
"Drăgoi, Cezara",,0,1,0,
"Du, Bo",@whu.edu.cn,0,1,0,
"Du, David H.C.",@univ-valenciennes.fr,0,0,2,"FAST_17_009,FAST_17_022"
"Du, Kun",,0,0,2,"SP_17_019,CCS_17_034"
"Du, Lan",@monash.edu,0,0,1,ICDM_17_039
"Du, Lian",,0,0,1,HPCC_17_044
"Du, Min",,0,0,1,CCS_17_080
"Du, Nan",@gatech.edu,0,1,0,
"Du, Xiaoyong",,0,0,1,SIGMOD_17_012
"Du, Zhihui",@tsinghua.edu.cn,0,1,0,
"Duan, Chunhui",,0,0,2,"MobiCom_17_023,CoNEXT_17_018"
"Duan, Haixin",@tsinghua.edu.cn,0,0,2,"SP_17_019,CCS_17_034"
"Duan, Ruian",,0,0,1,CCS_17_134
"Duan, Xiaohui",,0,0,1,Cluster_17_004
"Duan, Yue",,0,0,1,NDSS_17_032
"Duarte, Elias P.",@inf.ufpr.br,0,0,1,EuroPar_17_019
"Duarte, Pedro",,0,0,1,MICRO_17_017
"Dubach, Christophe",@ed.ac.uk,0,1,1,VEE_17_005
"Dubey, Anshu",,0,1,0,
"Dubey, Pradeep",@intel.com,0,0,3,"ISCA_17_002,SC_17_001,SC_17_014"
"Dublish, Saumay",@sms.ed.ac.uk,0,0,1,ISPASS_17_010
"Dubnicki, Cezary",@9livesdata.com,0,1,0,
"Dubois, Michel",,0,1,0,
"Duboscq, Gilles",@ssw.jku.at,0,0,1,PLDI_17_032
"Dubovitskaya, Maria",,0,0,1,CCS_17_043
"Dubroy, Patrick",@ycr.org,0,0,1,SLE_17_008
"Duck, Gregory J.",,0,0,1,NDSS_17_064
"Duesterwald, Evelyn",,0,3,0,
"Duffield, Austin",,0,0,1,NSDI_17_032
"Duggal, Abhinav",,0,0,1,FAST_17_003
"Duggan, Jennie",,0,2,0,
"Duivesteijn, Wouter",@tue.nl,0,1,0,
"Dukkipati, Ambedkar",,0,0,1,ICDM_17_042
"Dukkipati, Nandita",,0,1,1,SIGCOMM_17_019
"Dulloor, Subramanya R.",@intel.com,0,0,1,HotOS_17_019
"Dumais, Susan T.",@microsoft.com,0,0,2,"SIGIR_17_024,SIGIR_17_027"
"Dumas, Marlon",@ut.ee,0,0,1,ICDM_17_034
"Dumitras, Tudor",@umiacs.umd.edu,0,2,1,NDSS_17_023
"Dumitraş, Tudor",@umiacs.umd.edu,0,0,1,CCS_17_090
"Dumitraʂ, Tudor",,0,1,0,
"Duong, Ta Nguyen Binh",@ihpc.a-star.edu.sg,0,0,1,Cluster_17_026
"Duplyakin, Dmitry",,0,0,1,HPDC_17_019
"Dupressoir, François",@surrey.ac.uk,0,0,2,"SP_17_027,CCS_17_123"
"Dupros, Fabrice",,0,0,1,EuroPar_17_030
"Durand, Anaïs",@univ-grenoble-alpes.fr,0,0,1,IPDPS_17_019
"Durg, Ajaya",,0,0,1,ISCA_17_002
"Duri, Sastry",,0,0,1,ATC_17_024
"Durillo, Juan J.",@dps.uibk.ac.at,0,1,1,IPDPS_17_029
"Durnov, Dmitry",,0,0,1,SC_17_057
"Dursun, Kayhan",@cs.brown.edu,0,0,1,SIGMOD_17_039
"Durumeric, Zakir",@cs.stanford.edu,0,0,2,"NDSS_17_027,IMC_17_016"
"Durvasulu, Venkat",@sdstate.edu,0,0,1,HPCC_17_017
"Dutot, Pierre-Francois",@imag.fr,0,1,1,CCGrid_17_045
"Dutt, Anshuman",@microsoft.com,0,0,1,SIGMOD_17_079
"Dutta, Prabal",@eecs.umich.edu,0,0,1,SOSP_17_015
"Duwe, Henry",MISSING,0,0,4,"HPCA_17_009,ASPLOS_17_001,ISCA_17_004,MICRO_17_022"
"Dwarkadas, Sandhya",@cs.rochester.edu,0,2,0,
"Dyreson, Curtis",@usu.edu,0,1,0,
"Dzeroski, Saso",@ijs.si,0,1,0,
"Dziedzic, Adam",@uchicago.edu,0,0,1,CIDR_17_013
"Dzinamarira, Simbarashe",@rice.edu,0,0,1,SIGCOMM_17_010
"Döttling, Nico",@cs.fau.de,0,0,1,CCS_17_140
"Dünner, Celestine",@zurich.ibm.com,0,0,1,ICPP_17_038
"Dürmuth, Markus",@rub.de,0,0,1,NDSS_17_015
"D’Mello, Michael",,0,0,1,SC_17_038
"E, Weinan",,0,0,1,SIGIR_17_069
"Eager, Derek",@cs.usask.ca,0,1,1,ICPE_17_005
"Eastep, Jonathan",,0,0,1,ISC_17_021
"Eaton, Joe",,0,1,0,
"Eberle, Hans",@computer.org,0,1,1,IPDPS_17_084
"Eberle, William",@tntech.edu,0,1,0,
"Eberz, Simon",@cs.ox.ac.uk,0,0,1,NDSS_17_014
"Ebrahimi, Eiman",@nvidia.com,0,0,2,"ISCA_17_025,MICRO_17_011"
"Ebrahimi, Masoumeh",@kth.se,0,0,1,ISCA_17_054
"Ecarot, Thibaud",,0,0,1,HCW_17_007
"Ecker, Jan Philipp",,0,0,1,EuroPar_17_024
"Economo, Simone",@dis.uniroma1.it,0,0,1,CCGrid_17_028
"Edizel, Bora",@upf.edu,0,0,1,SIGIR_17_031
"Edmundson, Anne",@cs.princeton.edu,0,0,1,SP_17_011
"Edsall, Tom",,0,0,2,"NSDI_17_024,SIGCOMM_17_033"
"Edwards, Ashlee",@unc.edu,0,0,1,SIGIR_17_013
"Edwards, John",,0,0,1,HiPC_17_041
"Ee-Chien, Chang",@comp.nus.edu.sg,0,1,0,
"Eeckhout, Lieven",@ugent.be,0,4,3,"HPCA_17_029,ISPASS_17_016,PACT_17_013"
"Eeten, Michel Van",@tudelft.nl,0,0,1,CCS_17_035
"Egan, Rob",,0,0,1,EuroPar_17_035
"Egawa, Ryusuke",MISSING,0,1,1,HiPC_17_014
"Egele, Manuel",@bu.edu,0,1,1,ISC_17_019
"Egelman, Serge",@cs.berkeley.edu,0,1,2,"SP_17_050,CCS_17_019"
"Egger, Bernhard",@snu.ac.kr,0,0,1,SOCC_17_026
"Eguro, Ken",,0,0,1,SIGMOD_17_069
"Eibl, Sebastian",,0,0,1,ISC_17_001
"Eichenberger, Alexandre",@us.ibm.com,0,0,1,HiPC_17_021
"Eick, Christoph F.",@uh.edu,0,1,0,
"Eickhoff, Carsten",@inf.ethz.ch,0,1,0,
"Eide, Eric",@cs.utah.edu,0,1,1,SOCC_17_010
"Eigenmann, Rudolf",,0,0,1,PPoPP_17_001
"Eils, Roland",@dkfz.de,0,0,1,SP_17_022
"Einziger, Gil",@cs.technion.ac.il,0,0,1,SIGCOMM_17_011
"Eisenberg, Richard A.",@cis.upenn.edu,0,0,1,PLDI_17_027
"Eisenhauer, Greg",@cc.gatech.edu,0,1,1,Cluster_17_059
"Eisenstein, Daniel",,0,0,1,SC_17_014
"Eizenberg, Ariel",,0,0,2,"MICRO_17_047,PLDI_17_006"
"El-Ghazawi, Tarek",@email.gwu.edu,0,0,1,ICPP_17_014
"El-Sayed, Nosayba",@mit.edu,0,0,1,SC_17_021
"Elafrou, Athena",MISSING,0,0,1,ICPP_17_030
"Eles, Petru",@liu.se,0,1,0,
"Eletreby, Rashad",@cmu.edu,0,0,1,SIGCOMM_17_012
"Elgamal, Tarek",@illinois.edu,0,0,1,CIDR_17_025
"Eliassi-Rad, Tina",@eliassi.org,1,0,0,
"Elisevich, Kost",,0,0,1,ICAC_17_011
"Elkabany, Ken",,0,0,1,NSDI_17_001
"Elkin, Michael",@cs.bgu.ac.il,0,0,2,"PODC_17_015,PODC_17_017"
"Ellard, Daniel",,0,1,0,
"Ellen, Faith",,0,1,0,
"Ellingson, Sally",,0,1,0,
"Ellis, Marquita",,0,0,1,EuroPar_17_035
"Ellsworth, Daniel",,0,0,1,IPDPS_17_094
"Elmagarmid, Ahmed",@qf.org.qa,0,0,1,CIDR_17_005
"Elmokashfi, Ahmed",@simula.no,0,0,1,MobiCom_17_007
"Elmore, Aaron J.",,0,1,3,"CIDR_17_022,SOCC_17_017,MICRO_17_002"
"Elmroth, Erik",@cs.umu.se,0,1,3,"CCGrid_17_070,HPDC_17_001,SOCC_17_005"
"Elnawawy, Hussein",,0,0,1,PACT_17_022
"Elnikety, Sameh",@microsoft.com,0,0,5,"SPAA_17_010,SOCC_17_013,MICRO_17_045,Middleware_17_019,SIGIR_17_061"
"Elnozahy, Elmootazbellah",@kaust.edu.sa,0,2,0,
"Elomaa, Tapio",@tut.fi,0,1,0,
"Elsasser, Robert",@cosy.sbg.ac.at,0,1,0,
"Elsasser, Wendy",,0,1,0,
"Elsayed, Tamer",@qu.edu.qa,0,1,0,
"Elsman, Martin",@diku.dk,0,0,1,PLDI_17_022
"Elsweiler, David",@elsweiler.co.uk,0,1,1,SIGIR_17_058
"Elsässer, Robert",@cosy.sbg.ac.at,0,0,1,PODC_17_030
"Elton, Bracy",,0,0,1,ICPP_17_017
"Elyasi, Nima",@psu.edu,0,0,2,"ASPLOS_17_026,IISWC_17_023"
"Emer, Joel",@csail.mit.edu,1,0,5,"ISPASS_17_011,ISCA_17_003,ISCA_17_045,PACT_17_006,SC_17_006"
"Emilio, Rubens",,0,0,1,PPoPP_17_010
"Enck, William",@cs.ncsu.edu,0,1,0,
"Endo, Hiroshi",,0,0,1,SYSTOR_17_010
"Endo, Toshio",@is.titech.ac.jp,0,2,2,"EuroPar_17_007,Cluster_17_054"
"Ene, Alina",@bu.edu,0,1,0,
"Engelen, Robert Van",@cs.fsu.edu,0,1,0,
"Engelmann, Christian",@ornl.gov,0,1,2,"MASCOTS_17_003,SC_17_036"
"Engler, Dawson",@stanford.edu,0,0,1,SP_17_013
"Enright-Jerger, Natalie",@eecg.toronto.edu,0,1,0,
"Ensafi, Roya",@umich.edu,0,1,1,SP_17_004
"Eom, Hyeonsang",MISSING,0,0,1,Cluster_17_025
"Eom, Youngmoon",,0,0,1,Cluster_17_032
"Epasto, Alessandro",@google.com,0,1,2,"SPAA_17_018,KDD_17_024"
"Epema, Dick",@tudelft.nl,0,3,3,"ICPE_17_007,HPDC_17_009,ICPP_17_040"
"Eppstein, David",@uci.edu,0,0,1,PODS_17_023
"Eqbal, Rasha",,0,0,1,SOSP_17_005
"Eran, Haggai",,0,0,1,ASPLOS_17_031
"Eranti, Vijay",,0,0,1,CCS_17_089
"Erbshäußer, Tobias",,0,0,1,Middleware_17_005
"Erez, Mattan",@utexas.edu,0,2,1,ISCA_17_035
"Erfani, Sarah M.",@unimelb.edu.au,0,0,1,ICDM_17_026
"Ergin, Oguz",@etu.edu.tr,0,0,1,HPCA_17_016
"Eriksson, Jakob",@uic.edu,0,0,1,SOSP_17_021
"Erlingsson, Úlfar",@google.com,1,0,1,SOSP_17_027
"Ermon, Stefano",,0,0,1,IPDPS_17_029
"Ernst, Dan",@cray.com,0,1,0,
"Escudero-Sahuquillo, Jesus",@uclm.es,0,1,0,
"Esfandiari, Hossein",@cs.umd.edu,0,0,1,SPAA_17_029
"Esmaeilzadeh, Hadi",@eng.ucsd.edu,0,3,1,MICRO_17_028
"Esparza, Javier",@in.tum.de,0,0,1,PODC_17_036
"Espitau, Thomas",@lip6.fr,0,0,1,CCS_17_115
"Essanian, Alexander",,0,0,1,NSDI_17_030
"Essen, Brian C. Van",@llnl.gov,0,0,1,IPDPS_17_016
"Essex, Aleksander",@uwo.ca,0,0,1,NDSS_17_025
"Ester, Martin",@cs.sfu.ca,0,1,0,
